Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
GPT-5.6 Sol,GPT-5.6 Sol,161.69,159.12,165.2,2026-07-09,OpenAI,United States of America,API access,Closed weights,
Claude Fable 5,Claude Fable 5,161.55,159.02,165.23,2026-06-09,Anthropic,United States of America,API access,Closed weights,
GPT-5.5 Pro,GPT-5.5 Pro,161.54,158.8,164.93,2026-04-23,OpenAI,United States of America,API access,Closed weights,
Claude Opus 5,Claude Opus 5,161.05,158.63,164.1,2026-07-24,Anthropic,United States of America,API access,Closed weights,
GPT-5.5,GPT-5.5,158.94,156.76,162.06,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Terra,GPT-5.6 Terra,158.93,156.36,161.71,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.4 Pro,GPT-5.4 Pro,158.42,156.28,161.05,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.8,Claude Opus 4.8,157.84,155.77,160.17,2026-05-28,Anthropic,United States of America,API access,Closed weights,
Kimi K3,Kimi K3,157.39,155.26,160.32,2026-07-16,Moonshot,China,Open weights (non-commercial),Open weights,
GPT-5.4,GPT-5.4,156.66,154.93,158.75,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.7,Claude Opus 4.7,156.04,154.28,158.09,2026-04-16,Anthropic,United States of America,API access,Closed weights,
GPT-5.6 Luna,GPT-5.6 Luna,156.03,153.81,158.22,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.3 Codex,GPT-5.3 Codex,155.64,153.26,158.59,2026-02-05,OpenAI,United States of America,API access,Closed weights,
Muse Spark 1.1,Muse Spark 1.1,155.49,153.75,158.09,2026-07-09,Meta AI,United States of America,API access,Closed weights,
Claude Sonnet 5,Claude Sonnet 5,155.47,153.01,157.66,2026-06-30,Anthropic,United States of America,API access,Closed weights,
Claude Opus 4.6,Claude Opus 4.6,155.12,153.54,157.05,2026-02-05,Anthropic,United States of America,API access,Closed weights,
GPT-5.2 Pro,GPT-5.2 Pro,154.93,153.14,157.15,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Gemini 3.1 Pro,Gemini 3.1 Pro,154.89,152.76,157.44,2026-02-19,Google DeepMind,United States of America,API access,Closed weights,
Gemini 3.5 Flash,Gemini 3.5 Flash,154.55,152.74,156.82,2026-05-19,Google,United States of America,API access,Closed weights,
Gemini 3.6 Flash,Gemini 3.6 Flash,153.95,149.63,155.91,2026-07-21,Google DeepMind,United States of America,API access,Closed weights,
Grok 4.5,Grok 4.5,153.94,152.33,155.9,2026-07-08,xAI,United States of America,API access,Closed weights,
Qwen3.7-Max,Qwen3.7-Max,153.78,152.11,155.54,2026-05-19,Alibaba,China,API access,Closed weights,
GPT-5.2,GPT-5.2,153.47,151.8,155.11,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Gemini 3 Pro,Gemini 3 Pro,153.12,151.49,155.31,2025-11-18,Google DeepMind,United States of America,API access,Closed weights,
Muse Spark,Muse Spark,152.77,150.86,156.33,2026-04-08,Meta AI,United States of America,API access,Closed weights,
Claude Sonnet 4.6,Claude Sonnet 4.6,152.39,149.84,154.58,2026-02-17,Anthropic,United States of America,API access,Closed weights,
Grok 4.20,Grok 4.20,152.27,149.11,154.29,2026-02-17,xAI,United States of America,API access,Closed weights,
GLM-5.2,GLM-5.2,152.13,150.49,154.4,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Kimi K2.6,Kimi K2.6,151.02,149.35,152.46,2026-04-20,Moonshot,China,Open weights (unrestricted),Open weights,
GLM-5.1,GLM-5.1,150.64,148.72,152.0,2026-04-07,Z.ai (Zhipu AI),China,Unknown,Other,
Gemini 3 Flash,Gemini 3 Flash,150.52,145.64,152.66,2025-12-17,Google DeepMind,United States of America,API access,Closed weights,
GPT-5 Pro,GPT-5 Pro,150.44,149.09,152.62,2025-10-07,OpenAI,United States of America,API access,Closed weights,
Kimi K2.7 Code,Kimi K2.7 Code,150.39,148.94,151.99,2026-06-12,Moonshot,China,Open weights (unrestricted),Open weights,
GPT-5,GPT-5,150.0,,,2025-08-07,OpenAI,United States of America,API access,Closed weights,
GPT-5.1-Codex-Max,GPT-5.1-Codex-Max,149.96,147.64,152.67,2025-11-19,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.5,Claude Opus 4.5,149.9,147.94,152.39,2025-11-24,Anthropic,United States of America,API access,Closed weights,
GPT-5.1,GPT-5.1,149.67,148.43,151.06,2025-11-13,OpenAI,United States of America,API access,Closed weights,
Qwen 3.6 Max (Preview),Qwen 3.6 Max (Preview),149.38,147.81,152.79,2026-04-20,Alibaba,China,Unknown,Other,
GPT-5.4 Mini,GPT-5.4 Mini,149.08,147.56,150.34,2026-03-17,OpenAI,United States of America,API access,Closed weights,
Qwen 3.6 Plus,Qwen 3.6 Plus,149.02,146.73,150.81,2026-04-01,Alibaba,China,API access,Closed weights,
Grok 4.3 Beta,Grok 4.3 Beta,148.9,147.37,150.28,2026-04-17,xAI,United States of America,Hosted access (no API),Closed weights,
DeepSeek-V4-Pro,DeepSeek-V4-Pro,148.9,147.4,150.97,2026-04-24,DeepSeek,China,Open weights (unrestricted),Open weights,
MiniMax-M3,MiniMax-M3,148.44,144.68,150.74,2026-06-01,MiniMax,China,API access,Closed weights,
Kimi K2.5,Kimi K2.5,148.2,146.64,149.31,2026-02-02,Moonshot,China,Open weights (unrestricted),Open weights,
o3-pro,o3-pro,147.83,146.32,150.53,2025-06-10,OpenAI,United States of America,Unknown,Other,
o3,o3,147.02,145.01,148.39,2024-12-20,OpenAI,United States of America,API access,Closed weights,
Grok 4,Grok 4,146.94,145.13,148.75,2025-07-09,xAI,United States of America,API access,Closed weights,
Claude Sonnet 4.5,Claude Sonnet 4.5,146.89,145.26,148.27,2025-09-29,Anthropic,United States of America,API access,Closed weights,
Qwen 3.5 Plus (hosted 397B-A17B),Qwen 3.5 Plus (hosted 397B-A17B),146.88,144.53,148.11,2026-02-16,Alibaba,China,Unknown,Other,
